,model,validation f1 mean,validation f1 std,validation precision mean,validation precision std,validation recall mean,validation recall std,validation loss mean,validation loss std,validation auc mean,validation auc std,,,normal,first,second,,,,,,,,,,,,,,,,
,PCA_CNNLSTM,0.611831079,0.025344622,0.694985918,0.063776558,0.933353659,0.039637007,4.378997266,1.414814503,0.813881085,0.024343192,,,,,,,,,,,,,,,,,,,,,
,FirstDistillation PCA_CNNLSTM,0.615138842,0.022480185,0.699422553,0.044521627,0.940792683,0.033391538,6.428232002,1.477207309,0.819197501,0.023566011,,,,,,,,,,,,,,,,,,,,,
,SecondDistillation PCA_CNNLSTM,0.610625346,0.025591636,0.684655907,0.051946712,0.925792683,0.034592093,0.692102116,3.02E-05,0.815208259,0.020374645,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PCA_CNNLSTM_padded,0.717044042,0.056561477,0.720661641,0.056886494,0.907631579,0.055093097,1.413499045,0.324851488,0.876970914,0.04509477,,,,,,,,,,,,,,,,,,,,,
,FirstDistillation PCA_CNNLSTM_padded,0.712178842,0.046479866,0.682630056,0.061208593,0.897368421,0.050605749,4.533242607,0.308240145,0.883175439,0.041139397,,,,,,,,,,,,,,,,,,,,,
,SecondDistillation PCA_CNNLSTM_padded,0.709552824,0.065699513,0.70646549,0.078386581,0.907631579,0.055093097,0.693743271,0.004915723,0.88225,0.043473894,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PCA_LSTM,0.590019475,0.04213721,0.608814826,0.093019637,0.923292683,0.017116235,2.109348333,0.934035915,0.791840992,0.041380252,,,,,,,,,,,,,,,,,,,,,
,FirstDistillation PCA_LSTM,0.59138428,0.039305468,0.596740804,0.063184924,0.935670732,0.02958574,5.028439045,0.814918936,0.799899898,0.04189874,,,,,,,,,,,,,,,,,,,,,
,SecondDistillation PCA_LSTM,0.581115674,0.03679663,0.578314998,0.062558362,0.923170732,0.020720944,0.692641073,0.000399398,0.791218632,0.03869475,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PCA_LSTM_padded,0.690418414,0.059151139,0.729409969,0.096618529,0.943157895,0.016187954,0.915110213,0.237270088,0.860608495,0.043783152,,,,,,,,,,,,,,,,,,,,,
,FirstDistillation PCA_LSTM_padded,0.689314255,0.068421773,0.724845406,0.13355127,0.937894737,0.021611016,4.211343193,0.187111717,0.866083564,0.04422215,,,,,,,,,,,,,,,,,,,,,
,SecondDistillation PCA_LSTM_padded,0.67940937,0.063794698,0.651102472,0.090927758,0.943157895,0.016187954,0.696130717,0.002272694,0.862563712,0.04207308,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,model,validation f1 mean,validation f1 std,validation auc mean,validation auc std,,,,,,,,,,,,,,,,,,,,,,,,,,,
