,model,validation f1 mean,validation f1 std,validation precision mean,validation precision std,validation recall mean,validation recall std,validation loss mean,validation loss std,validation auc mean,validation auc std
15,__conpool__allergy_None__CNNLSTM__None.pth,0.4313133648369548,0.12025248837573763,0.3671047917599642,0.13719727188491154,0.821504329004329,0.11866800997775413,0.6824803590774536,0.004826156578182535,0.7532230588505017,0.07678672213744918
16,_df___allergy_None__CNNLSTM__None.pth,0.31602863358419275,0.10413103116604217,0.3978132786753476,0.24923042730192652,0.6285281385281385,0.20617332033153302,0.6792552590370178,0.007334341485810239,0.5472977866175678,0.15450092374707086
17,g__transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_GAIN.pth,0.3874465597488458,0.15267890300336726,0.28524892112620304,0.12384032466958647,0.7527705627705628,0.12057473107840387,0.5658446311950683,0.01831520396394154,0.6943027101169829,0.08211115583305609
18,mmc7_PCA_LSTM_padded_GAIN.pth,0.713781299179799,0.11294104234742132,0.6642595284433899,0.16049871163451673,0.935670731707317,0.022635424296344634,0.6713165044784546,0.001931523442633115,0.9210139611838193,0.05735057414453384
19,_df_conpool__mmc7_None__CNNLSTM_padded_None.pth,0.5643133806254788,0.03483261998093426,0.455422873125504,0.06274640360960865,0.9653048780487804,0.012254277258342532,0.7033403396606446,0.0014619549780647409,0.8218499869869126,0.030408312528409503
20,____mmc7_None_PCA_LSTM__None.pth,0.779130003825893,0.09792553684000611,0.738490862661054,0.11845417296171598,0.9529878048780486,0.01726686727615697,0.6707186937332154,0.0020486371133378875,0.9479756655264724,0.04941844763543427
21,g__transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_mice.pth,0.3874465597488458,0.15267890300336726,0.28524892112620304,0.12384032466958647,0.7527705627705628,0.12057473107840387,0.5658446311950683,0.01831520396394154,0.6943027101169829,0.08211115583305609
22,allergy__CNNLSTM_padded_mean.pth,0.43377670680874336,0.10824818180957385,0.495979926703315,0.2784879948777816,0.8383694083694084,0.1260018862097841,0.6797480523586273,0.007318506675457562,0.7257839549627831,0.08840572164745088
23,g____mmc7_None__CNNLSTM__None.pth,0.5178946353552172,0.07542760262994441,0.5472565392553783,0.08494920590136093,0.9529268292682926,0.030437519506264443,0.6815730035305023,0.0014682975309633724,0.6055641731112433,0.06324352289268008
24,_____allergy_None_PCA_CNNLSTM_padded_mice.pth,0.38995061390222674,0.14772934078019373,0.28409421594349293,0.12271072047791963,0.7921356421356422,0.13342894474884298,0.6820350587368011,0.005677265224548424,0.7045523995808394,0.07697003419754016
25,mmc7_PCA_LSTM_padded_mice.pth,0.6244574051779976,0.0546797275272613,0.565921874899401,0.12452286336079646,0.9034756097560974,0.035843131439455445,0.6709260642528534,0.0021068619174682765,0.8699892177275432,0.037690168768800936
26,g__conpool__allergy_None__LSTM_padded_None.pth,0.31518182689599883,0.12955588344261748,0.268737774172175,0.12353083058424756,0.462521645021645,0.1566568071507385,0.7022775650024414,0.003933232093398048,0.5267566725311866,0.17389823015138062
27,_df_conpool__mmc7_None__CNNLSTM__None.pth,0.5643133806254788,0.03483261998093426,0.455422873125504,0.06274640360960865,0.9653048780487804,0.012254277258342532,0.7033403396606446,0.0014619549780647409,0.8218499869869126,0.030408312528409503
