model,validation f1 mean,validation f1 std,validation precision mean,validation precision std,validation recall mean,validation recall std,validation loss mean,validation loss std,validation auc mean,validation auc std
g_df_conpool_transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_mice.pth,0.282105956,0.10693163,0.182783121,0.079261146,0.841778499,0.121485468,0.701848024,0.001827265,0.378112408,0.092059011
g_df_conpool_transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_None.pth,0.282105956,0.10693163,0.182783121,0.079261146,0.841778499,0.121485468,0.701848024,0.001827265,0.378112408,0.092059011
___transfer_mmc7_to_allergy_mmc7_phylum__LSTM_padded_GAIN.pth,0.364385031,0.154817159,0.270553927,0.122316395,0.780667388,0.206426485,0.769118011,0.018782317,0.661915331,0.135281219
___transfer_mmc7_to_allergy_mmc7_phylum__LSTM_padded_mean.pth,0.364385031,0.154817159,0.270553927,0.122316395,0.780667388,0.206426485,0.769118011,0.018782317,0.661915331,0.135281219
___transfer_mmc7_to_allergy_mmc7_phylum__LSTM_padded_mice.pth,0.364385031,0.154817159,0.270553927,0.122316395,0.780667388,0.206426485,0.769118011,0.018782317,0.661915331,0.135281219
___transfer_mmc7_to_allergy_mmc7_phylum__LSTM_padded_None.pth,0.364385031,0.154817159,0.270553927,0.122316395,0.780667388,0.206426485,0.769118011,0.018782317,0.661915331,0.135281219
_df_conpool_transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_GAIN.pth,0.394941493,0.148503646,0.301703374,0.124798371,0.856424964,0.125593418,0.701848024,0.001827265,0.668869044,0.081395198
_df_conpool_transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_mean.pth,0.394941493,0.148503646,0.301703374,0.124798371,0.856424964,0.125593418,0.701848024,0.001827265,0.668869044,0.081395198
_df_conpool_transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_mice.pth,0.394941493,0.148503646,0.301703374,0.124798371,0.856424964,0.125593418,0.701848024,0.001827265,0.668869044,0.081395198
_df_conpool_transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_None.pth,0.394941493,0.148503646,0.301703374,0.124798371,0.856424964,0.125593418,0.701848024,0.001827265,0.668869044,0.081395198
_df_conpool_transfer_mmc7_to_allergy_mmc7_phylum__LSTM_padded_GAIN.pth,0.390005439,0.14777825,0.334637246,0.146394097,0.834635642,0.118228608,0.700495863,0.003643976,0.679687785,0.093756622
_df_conpool_transfer_mmc7_to_allergy_mmc7_phylum__LSTM_padded_mean.pth,0.390005439,0.14777825,0.334637246,0.146394097,0.834635642,0.118228608,0.700495863,0.003643976,0.679687785,0.093756622
_df_conpool_transfer_mmc7_to_allergy_mmc7_phylum__LSTM_padded_mice.pth,0.390005439,0.14777825,0.334637246,0.146394097,0.834635642,0.118228608,0.700495863,0.003643976,0.679687785,0.093756622
_df_conpool_transfer_mmc7_to_allergy_mmc7_phylum__LSTM_padded_None.pth,0.390005439,0.14777825,0.334637246,0.146394097,0.834635642,0.118228608,0.700495863,0.003643976,0.679687785,0.093756622
__conpool_transfer_mmc7_to_allergy_mmc7_phylum__LSTM_padded_GAIN.pth,0.385108688,0.143511087,0.350732697,0.24582628,0.856424964,0.125593418,0.700495863,0.003643976,0.68057796,0.088108071
__conpool_transfer_mmc7_to_allergy_mmc7_phylum__LSTM_padded_mean.pth,0.385108688,0.143511087,0.350732697,0.24582628,0.856424964,0.125593418,0.700495863,0.003643976,0.68057796,0.088108071
__conpool_transfer_mmc7_to_allergy_mmc7_phylum__LSTM_padded_mice.pth,0.385108688,0.143511087,0.350732697,0.24582628,0.856424964,0.125593418,0.700495863,0.003643976,0.68057796,0.088108071
__conpool_transfer_mmc7_to_allergy_mmc7_phylum__LSTM_padded_None.pth,0.385108688,0.143511087,0.350732697,0.24582628,0.856424964,0.125593418,0.700495863,0.003643976,0.68057796,0.088108071
__conpool_transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_GAIN.pth,0.383924714,0.145767495,0.286113414,0.117555701,0.830191198,0.120674849,0.701848024,0.001827265,0.68563077,0.066016017
__conpool_transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_mean.pth,0.383924714,0.145767495,0.286113414,0.117555701,0.830191198,0.120674849,0.701848024,0.001827265,0.68563077,0.066016017
__conpool_transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_mice.pth,0.383924714,0.145767495,0.286113414,0.117555701,0.830191198,0.120674849,0.701848024,0.001827265,0.68563077,0.066016017
__conpool_transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_None.pth,0.383924714,0.145767495,0.286113414,0.117555701,0.830191198,0.120674849,0.701848024,0.001827265,0.68563077,0.066016017
g___transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_GAIN.pth,0.38744656,0.152678903,0.285248921,0.123840325,0.752770563,0.120574731,0.565844631,0.018315204,0.69430271,0.082111156
g___transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_mean.pth,0.38744656,0.152678903,0.285248921,0.123840325,0.752770563,0.120574731,0.565844631,0.018315204,0.69430271,0.082111156
g___transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_mice.pth,0.38744656,0.152678903,0.285248921,0.123840325,0.752770563,0.120574731,0.565844631,0.018315204,0.69430271,0.082111156
g___transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_None.pth,0.38744656,0.152678903,0.285248921,0.123840325,0.752770563,0.120574731,0.565844631,0.018315204,0.69430271,0.082111156
g__transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_GAIN.pth,0.38744656,0.152678903,0.285248921,0.123840325,0.752770563,0.120574731,0.565844631,0.018315204,0.69430271,0.082111156
g__transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_mean.pth,0.38744656,0.152678903,0.285248921,0.123840325,0.752770563,0.120574731,0.565844631,0.018315204,0.69430271,0.082111156
g__transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_mice.pth,0.38744656,0.152678903,0.285248921,0.123840325,0.752770563,0.120574731,0.565844631,0.018315204,0.69430271,0.082111156
g__transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_None.pth,0.38744656,0.152678903,0.285248921,0.123840325,0.752770563,0.120574731,0.565844631,0.018315204,0.69430271,0.082111156
g_df__transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_GAIN.pth,0.38744656,0.152678903,0.285248921,0.123840325,0.752770563,0.120574731,0.565844631,0.018315204,0.69430271,0.082111156
g_df__transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_mean.pth,0.38744656,0.152678903,0.285248921,0.123840325,0.752770563,0.120574731,0.565844631,0.018315204,0.69430271,0.082111156
g_df__transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_mice.pth,0.38744656,0.152678903,0.285248921,0.123840325,0.752770563,0.120574731,0.565844631,0.018315204,0.69430271,0.082111156
g_df__transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_None.pth,0.38744656,0.152678903,0.285248921,0.123840325,0.752770563,0.120574731,0.565844631,0.018315204,0.69430271,0.082111156
g_df_transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_GAIN.pth,0.38744656,0.152678903,0.285248921,0.123840325,0.752770563,0.120574731,0.565844631,0.018315204,0.69430271,0.082111156
g_df_transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_mean.pth,0.38744656,0.152678903,0.285248921,0.123840325,0.752770563,0.120574731,0.565844631,0.018315204,0.69430271,0.082111156
g_df_transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_mice.pth,0.38744656,0.152678903,0.285248921,0.123840325,0.752770563,0.120574731,0.565844631,0.018315204,0.69430271,0.082111156
g_df_transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_None.pth,0.38744656,0.152678903,0.285248921,0.123840325,0.752770563,0.120574731,0.565844631,0.018315204,0.69430271,0.082111156
g_transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_GAIN.pth,0.38744656,0.152678903,0.285248921,0.123840325,0.752770563,0.120574731,0.565844631,0.018315204,0.69430271,0.082111156
g_transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_mean.pth,0.38744656,0.152678903,0.285248921,0.123840325,0.752770563,0.120574731,0.565844631,0.018315204,0.69430271,0.082111156
